time	type	subtype	content
0.000	info	experiment_name	run_task
0.000	info	task_name	maze_calibration\autocalibration\auto_calibration_task_2
0.000	info	task_file_hash	903656996
0.000	info	setup_id	LT_small_maze
0.000	info	framework_version	2.0.2
0.000	info	micropython_version	1.222
0.000	info	subject_id	LT_small_maze
0.000	info	start_time	2026-06-10T10:10:56.754
0.000	variable	run_start	{"release_weight": null, "calibration_weight": 1, "poke": null, "batch_count": 0, "n_release_per_batch": 4, "times": 6, "pokes_to_calibrate": ["A1", "A2", "A3", "B1", "B2", "B3", "C1", "C2", "C3"], "pre_weight": 0, "target_weight": 0.2, "n_release": 0, "release_duration": null, "max_releases": 100, "release_durations": [50, 100, 150, 200]}
0.000	state		wait_for_go
2.658	event	user	tare
7.653	variable	user_set	{"calibration_weight": 6.5}
29.306	event	user	tare
32.750	event	user	calibrate
32.762	print	task	Scale: 13379.88
38.663	event	user	weigh
38.664	print	task	6.489817
43.747	event	user	weigh
43.748	print	task	0.02780293
46.642	event	user	go
46.742	state		calibration_init
46.742	print	task	Ready to calibrate release duration: 50, press go.
47.376	event	user	go
47.376	state		pre_release
47.481	state		release
47.531	event	timer	timer_event
47.581	state		release
47.631	event	timer	timer_event
47.681	state		release
47.731	event	timer	timer_event
47.781	state		release
47.831	event	timer	timer_event
47.835	print	task	-0.004484344
47.885	state		release
47.935	event	timer	timer_event
47.985	state		release
48.035	event	timer	timer_event
48.085	state		release
48.135	event	timer	timer_event
48.185	state		release
48.235	event	timer	timer_event
48.239	print	task	0.01291117
48.289	state		release
48.339	event	timer	timer_event
48.389	state		release
48.439	event	timer	timer_event
48.489	state		release
48.539	event	timer	timer_event
48.589	state		release
48.639	event	timer	timer_event
48.643	print	task	0.05336369
48.693	state		release
48.743	event	timer	timer_event
48.793	state		release
48.843	event	timer	timer_event
48.893	state		release
48.943	event	timer	timer_event
48.993	state		release
49.043	event	timer	timer_event
49.047	print	task	0.09850608
49.097	state		release
49.147	event	timer	timer_event
49.197	state		release
49.247	event	timer	timer_event
49.297	state		release
49.347	event	timer	timer_event
49.397	state		release
49.447	event	timer	timer_event
49.451	print	task	0.1455917
49.501	state		release
49.551	event	timer	timer_event
49.601	state		release
49.651	event	timer	timer_event
49.701	state		release
49.751	event	timer	timer_event
49.801	state		release
49.851	event	timer	timer_event
49.855	print	task	0.1799343
49.905	state		release
49.955	event	timer	timer_event
50.005	state		release
50.055	event	timer	timer_event
50.105	state		release
50.155	event	timer	timer_event
50.205	state		release
50.255	event	timer	timer_event
50.259	print	task	0.218836
50.359	state		post_release
50.364	variable	print	{"poke": "A1", "release_duration": 50, "n_release": 28, "release_weight": 0.2396134}
50.464	state		pre_release
50.571	state		release
50.623	event	timer	timer_event
50.675	state		release
50.727	event	timer	timer_event
50.779	state		release
50.831	event	timer	timer_event
50.883	state		release
50.935	event	timer	timer_event
50.941	print	task	-0.005381212
50.992	state		release
51.044	event	timer	timer_event
51.096	state		release
51.148	event	timer	timer_event
51.205	state		release
51.257	event	timer	timer_event
51.309	state		release
51.361	event	timer	timer_event
51.368	print	task	0.02257119
51.418	state		release
51.470	event	timer	timer_event
51.522	state		release
51.574	event	timer	timer_event
51.626	state		release
51.678	event	timer	timer_event
51.730	state		release
51.782	event	timer	timer_event
51.788	print	task	0.04290022
51.839	state		release
51.891	event	timer	timer_event
51.943	state		release
51.995	event	timer	timer_event
52.047	state		release
52.099	event	timer	timer_event
52.151	state		release
52.203	event	timer	timer_event
52.209	print	task	0.1168919
52.260	state		release
52.312	event	timer	timer_event
52.364	state		release
52.416	event	timer	timer_event
52.468	state		release
52.520	event	timer	timer_event
52.572	state		release
52.624	event	timer	timer_event
52.630	print	task	0.1661262
52.681	state		release
52.733	event	timer	timer_event
52.785	state		release
